Time PST,Temp (F),Humidity,Wind Speed (in HG),Wind Gust (MPH)
2024-01-17 12:57:00,60,65,0.87,6.08
2024-01-17 13:57:00,63,59,2.61,6.08
2024-01-17 14:57:00,62,61,2.61,6.08
2024-01-17 15:57:00,60,66,3.48,6.08
2024-01-17 16:57:00,58,75,1.74,4.34
2024-01-17 18:57:00,55,86,2.61,3.48
2024-01-17 22:57:00,56,75,2.61,6.95
2024-01-17 23:57:00,56,74,2.61,6.95
2024-01-18 01:57:00,55,75,2.61,5.21
2024-01-18 02:57:00,56,71,3.48,6.08
2024-01-18 03:57:00,55,72,5.21,8.69
2024-01-18 04:57:00,54,71,5.21,10.43
2024-01-18 05:57:00,53,72,4.34,10.43
2024-01-18 06:57:00,53,71,5.21,9.56
2024-01-18 07:57:00,55,68,6.08,12.17
2024-01-18 08:57:00,58,59,6.95,13.03
2024-01-18 09:57:00,64,55,4.34,10.43
2024-01-18 10:57:00,65,55,3.48,9.56
2024-01-18 11:57:00,68,51,1.74,7.82
2024-01-18 12:57:00,70,47,1.74,6.95
2024-01-18 13:57:00,70,48,3.48,6.95
2024-01-18 14:57:00,70,46,3.48,7.82
2024-01-18 15:57:00,67,50,1.74,6.08
2024-01-18 16:57:00,63,67,3.48,7.82
2024-01-18 17:57:00,59,77,2.61,9.56
2024-01-18 19:57:00,55,89,2.61,3.48
2024-01-18 20:57:00,54,93,0.87,2.61
2024-01-18 21:57:00,54,91,3.48,3.48
2024-01-18 23:57:00,53,81,4.34,7.82
2024-01-19 01:57:00,51,89,1.74,3.48
2024-01-19 02:57:00,51,89,0.87,2.61
2024-01-19 03:57:00,51,79,4.34,7.82
2024-01-19 07:57:00,55,58,1.74,6.95
2024-01-19 08:57:00,61,51,1.74,6.95
2024-01-19 09:57:00,63,51,0.87,3.48
2024-01-19 10:57:00,63,53,6.08,8.69
2024-01-19 11:57:00,67,54,2.61,11.3
2024-01-19 12:57:00,67,51,2.61,6.08
2024-01-19 13:57:00,70,40,3.48,8.69
2024-01-19 14:57:00,72,42,1.74,7.82
2024-01-19 15:57:00,69,46,3.48,6.08
2024-01-19 16:57:00,63,52,0.87,6.95
2024-01-19 17:57:00,60,54,1.74,3.48
2024-01-19 18:57:00,58,65,2.61,6.08
2024-01-19 19:57:00,57,79,1.74,2.61
2024-01-19 20:57:00,57,70,0.87,4.34
